Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
COAST,MOMBASA,bathing soap,4U,1410,0.027910971,0.252484555,48.18170048,0.62296173,30.01535551
COAST,MOMBASA,bathing soap,AFRISENSE,392.7475,0.21649422,0.576188695,56.16951953,1,56.16951953
COAST,MOMBASA,bathing soap,DETREX,44332.345,0.673677941,0.31753826,54.67270314,0.673677941,36.83179409
COAST,MOMBASA,bathing soap,DIVA,373.36,0.237566105,0.302146123,47.26637893,0.587169666,27.75338392
COAST,MOMBASA,bathing soap,SAWA,12097.01,0.095688094,0.037424769,40.04580746,1,40.04580746
COAST,MOMBASA,bodywash,SAWA,124.8383333,0.00098698,0.000386215,50.01920131,1,50.01920131
COAST,MOMBASA,detergent,RAINBOW,348,0.185068909,0.613756614,58.84357168,1,58.84357168
COAST,MOMBASA,detergent,USHINDI,0,0,0,58.84357168,,
COAST,MOMBASA,dishwashing liquid,USHINDI,7580.57925,0.211047382,0.104825808,58.84357168,1,58.84357168
COAST,MOMBASA,dishwashing paste,USHINDI,4360.8,0.121407005,0.060302039,58.84357168,1,58.84357168
COAST,MOMBASA,fat,FRYMATE,4586.6,0.12950765,0.320056383,37.2025893,1,37.2025893
COAST,MOMBASA,glycerine,DIVA,32.28322222,0.020323159,0.02612559,50.01920131,0.473588603,23.68852367
COAST,MOMBASA,glycerine,SAWA,562.9309722,0.004452338,0.001741551,50.01920131,0.708479981,35.4376028
COAST,MOMBASA,lotion,BELLEZA,1532.609312,0.456152318,0.344659977,50.01920131,1,50.01920131
COAST,MOMBASA,lotion,FRESCO,825.1209167,0.361025149,0.335942252,50.01920131,1,50.01920131
COAST,MOMBASA,margarine,ONJA,3506.5,0.77467823,0.42923157,88.91236811,1,88.91236811
COAST,MOMBASA,milking jelly,SAWA,5401.000389,0.042721966,0.016709186,69.1779389,0.828277252,57.29851311
COAST,MOMBASA,oil,FRESH FRI,81728.7525,0.463063978,0.473084114,35.23114298,1,35.23114298
COAST,MOMBASA,oil,FRESH ZAIT,22043.34,0.416722859,0.265222985,43.26465794,0.579601407,25.07625661
COAST,MOMBASA,oil,POPCO,6276.15,0.053657271,0.170429179,46.66201269,0.576526388,26.90188162
COAST,MOMBASA,oil,SALIT,124788.44,0.517707049,0.57334059,47.68458925,1,47.68458925
COAST,MOMBASA,petroleum jelly,SAWA,226.84375,0.001793853,0.000701791,69.1779389,1,69.1779389
COAST,MOMBASA,toilet soap,SAWA,126420.664,1,0.391110207,40.04580746,1,40.04580746
COAST,MURANG'A,bar soap,NDUME,24480.6,0.056754562,0.301477796,48.19629137,0.72246553,34.8201592
COAST,MURANG'A,bar soap,POPCO,260,0.002076387,0.007060313,49.07148783,1,49.07148783
COAST,MURANG'A,bar soap,USHINDI,673.7,0.018756168,0.009316062,47.44673382,0.030260156,1.435745548
COAST,MURANG'A,bar soap,WHITEWASH,2126.4,0.009411233,0.009106375,21.09236349,0.02414085,0.509187587
