,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
43,CENTRAL,ISIOLO,glycerine,DIVA,7.953708333,0.004826897,0.013323287,50.01920131,0.055390285,2.770577809,0.08,2.7683613467528003
44,CENTRAL,ISIOLO,glycerine,SAWA,70.57844444,0.000557779,0.000462629,50.01920131,0.057486587,2.875433154,0.08,2.8731328074768
45,CENTRAL,ISIOLO,lotion,BELLEZA,93.92672917,0.027788487,0.011805651,50.01920131,0.052747129,2.638369265,0.08,2.636258569588
46,CENTRAL,ISIOLO,lotion,FRESCO,257.6759792,0.112714118,0.04629232,50.01920131,0.193259099,9.666665763,0.08,9.6589324303896
47,CENTRAL,ISIOLO,margarine,ONJA,223.75,0.049328841,0.050645088,95.89977833,0.188158449,18.04435357,0.08,18.029918087143997
48,CENTRAL,ISIOLO,milking jelly,SAWA,1048.334444,0.008291929,0.006871639,68.53715579,0.254662528,17.45384533,0.08,17.439882253736
49,CENTRAL,ISIOLO,oil,FRESH FRI,2775.549167,0.01571613,0.010069034,44.40835361,0.045045481,2.000395637,0.08,1.9987953204903999
50,CENTRAL,ISIOLO,oil,POPCO,75956.12433,0.651074993,0.430306553,44.00430178,1.0,44.00430178,0.08,43.969098338575996
51,CENTRAL,ISIOLO,oil,SALIT,69352.83533,0.287702871,0.061483624,33.57641678,0.287702871,9.660031512,0.08,9.6523034867904
52,CENTRAL,ISIOLO,petroleum jelly,SAWA,6.205,4.86e-05,4.07e-05,68.53715579,0.025073746,1.718483257,0.08,1.7171084703944
53,CENTRAL,ISIOLO,toilet soap,SAWA,5054.122806,0.039978129,0.033128845,43.84369783,0.142801248,6.260934752,0.08,6.2559260041983995
54,CENTRAL,KIAMBU,bar soap,NDUME,100.0,0.000231835,0.000135603,10.97780161,0.000231835,0.002545037,47.74,0.0013300363361999998
55,CENTRAL,KIAMBU,bar soap,WHITEWASH,16.8,6.28e-05,0.000142995,42.318709,0.000512817,0.021701765,47.74,0.011341342389
56,CENTRAL,KIAMBU,detergent,RAINBOW,6.0,0.003086256,0.031582272,64.84676405,0.045647725,2.960107284,47.74,1.5469520666183998
57,CENTRAL,KIAMBU,lotion,FRESCO,0.099604167,0.0,1.79e-05,50.01920131,0.0,0.0,47.74,0.0
58,CENTRAL,KIAMBU,oil,FRESH FRI,57.4695,0.000315525,0.000208486,44.40835361,0.000904355,0.040160917,47.74,0.020988095224199997
59,CENTRAL,KIAMBU,oil,SALIT,151.472,0.000584101,0.000134285,33.57641678,0.000584101,0.019612016,47.74,0.0102492395616
60,CENTRAL,KIAMBU,toilet soap,SAWA,59.65,0.000471333,0.000390995,43.84369783,0.001683595,0.07381505,47.74,0.03857574512999999
61,CENTRAL,KILIFI,bodywash,SAWA,6.479166667,5.07e-05,4.25e-05,50.01920131,0.071678965,3.585324562,6.52,3.3515614005575998
62,CENTRAL,KIRINYAGA,bar soap,NDUME,47162.42,0.109338926,0.063953529,10.97780161,0.109338926,1.200301033,48.59,0.6170747610652999
63,CENTRAL,KIRINYAGA,bar soap,POPCO,2220.0,0.018880911,0.012576742,46.92278541,0.551623424,25.88370754,48.59,13.306814046313999
64,CENTRAL,KIRINYAGA,bar soap,USHINDI,9531.7,0.265367627,0.130840122,58.4682421,0.767430673,44.87032237,48.59,23.067832730417
65,CENTRAL,KIRINYAGA,bar soap,WHITEWASH,16120.57,0.071424578,0.137211498,42.318709,0.583108324,24.67639147,48.59,12.686132854727
66,CENTRAL,KIRINYAGA,bathing soap,4U,2442.0,0.048426728,0.194670865,53.20323492,0.637362637,33.90975412,48.59,17.433004593092
